City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,acarau,-2.8856,-40.12,298.34,82,100,9.51,BR,1727664928
338,lompoc,34.6391,-120.4579,288.66,87,100,4.12,US,1727664930
339,cidreira,-30.1811,-50.2056,291.73,92,1,8.29,BR,1727664931
340,upata,8.0086,-62.3989,296.15,92,99,1.36,VE,1727664932
341,urangan,-25.3,152.9,296.67,67,5,4.29,AU,1727664933
342,alice springs,-23.7,133.8833,295.9,25,75,7.2,AU,1727664934
343,hola,51.5377,23.1902,281.17,67,100,3.38,PL,1727664936
344,katabu,-4.9333,122.5167,306.89,39,90,4.28,ID,1727664937
345,fort st. john,56.2499,-120.8529,279.09,61,20,2.57,CA,1727664938
346,cill airne,52.05,-9.5167,284.67,96,99,3.04,IE,1727664939
347,amga,60.8953,131.9608,275.64,85,100,3.22,RU,1727664940
348,kapa'a,22.0752,-159.319,301.33,74,40,6.17,US,1727664942
349,shumikha,55.2261,63.2961,282.72,53,73,3.83,RU,1727664943
350,yueyang,29.3333,113.0919,302.46,49,63,9.09,CN,1727664944
351,tres arroyos,-38.3739,-60.2798,289.85,83,100,4.62,AR,1727664945
352,koungheul,13.9833,-14.8,299.6,85,100,2.15,SN,1727664946
353,kudahuvadhoo,2.6708,72.8944,301.56,74,90,4.57,MV,1727664948
354,dapa,9.7594,126.0531,302.28,69,100,2.81,PH,1727664949
355,buala,-8.145,159.5921,303.0,67,44,2.85,SB,1727664950
356,shalqar,47.8333,59.6,286.95,37,0,5.16,KZ,1727664951
357,tynda,55.1667,124.7167,278.38,43,100,4.96,RU,1727664952
358,puerto la cruz,10.2167,-64.6167,298.96,81,93,1.42,VE,1727664954
359,bocana de paiwas,12.7857,-85.1227,296.59,94,100,1.61,NI,1727664955
360,peniche,39.3558,-9.3811,289.51,90,0,3.97,PT,1727664956
361,puerto aysen,-45.4,-72.7,275.43,98,99,1.16,CL,1727664957
362,arauquita,7.0292,-71.4281,294.59,99,100,1.01,CO,1727664958
363,lazaro cardenas,17.9583,-102.2,299.01,85,99,0.79,MX,1727664960
364,davyd-haradok,52.0566,27.2161,281.91,56,100,5.43,BY,1727664961
365,colby,39.3958,-101.0524,294.16,46,0,4.92,US,1727664962
366,san juan de miraflores,-12.1629,-76.9635,290.47,82,67,4.54,PE,1727664963
367,santa ines,-3.6667,-45.38,297.27,86,94,2.23,BR,1727664964
368,tymovskoye,50.8456,142.655,286.6,78,100,5.5,RU,1727664966
369,hasaki,35.7333,140.8333,296.36,65,100,5.37,JP,1727664967
370,kalix,65.853,23.1565,275.66,72,13,4.89,SE,1727664968
371,ancud,-41.8697,-73.8203,282.27,94,100,3.29,CL,1727664969
372,los zacatones,22.95,-102.05,290.56,50,81,8.08,MX,1727664970
373,varna,43.2167,27.9167,285.23,82,75,6.17,BG,1727664972
374,sumenep,-7.0167,113.8667,304.49,57,11,5.62,ID,1727664973
375,hassi messaoud,31.6804,6.0729,299.07,57,0,5.14,DZ,1727664914
376,ocean city,39.2776,-74.5746,292.62,90,98,3.13,US,1727664781
377,ewo,-0.8725,14.8206,295.48,90,67,2.02,CG,1727664976
378,fereydunshahr,32.941,50.121,278.15,64,0,3.28,IR,1727664977
379,borkum,53.5809,6.6915,284.65,71,95,11.57,DE,1727664979
380,bayanhongor,46.7167,100.1167,266.44,55,24,1.36,MN,1727664980
381,queenstown,-31.8976,26.8753,277.41,61,0,3.54,ZA,1727664982
382,kashgar,39.4547,75.9797,285.71,62,40,4.0,CN,1727664984
383,skovorodino,53.9833,123.9167,280.64,34,100,4.7,RU,1727664985
384,gopalpur,19.2667,84.9167,302.79,74,11,1.16,IN,1727664986
385,kavaratti,10.5669,72.642,301.77,75,100,5.28,IN,1727664987
386,ginir,7.1333,40.7,288.25,86,99,1.68,ET,1727664988
387,chernyshevskiy,63.0128,112.4714,274.28,97,100,4.71,RU,1727664989
388,acajutla,13.5928,-89.8275,298.8,86,98,1.49,SV,1727664806
389,lobito,-12.3481,13.5456,294.79,89,24,1.02,AO,1727664992
390,klyuchi,52.2667,79.1667,284.87,43,100,5.31,RU,1727664993
391,bena,11.2844,5.9347,294.84,86,95,0.97,NG,1727664994
392,melekeok village,7.4957,134.6367,304.46,70,75,5.14,PW,1727664995
393,ca mau,9.1769,105.15,305.16,60,70,4.07,VN,1727664997
394,yashan,22.1975,109.9419,304.09,69,4,1.26,CN,1727664998
395,mahibadhoo,3.7833,72.9667,300.79,77,86,4.4,MV,1727664999
396,mil'kovo,55.6078,37.7956,284.61,67,100,4.74,RU,1727665000
397,el bauga,18.262,33.9081,304.25,19,100,3.36,SD,1727665001
398,prince rupert,54.3161,-130.3201,283.98,76,7,6.17,CA,1727665002
399,pacific grove,36.6177,-121.9166,288.97,91,0,3.6,US,1727665004
400,dmitrovsk-orlovskiy,52.505,35.1464,281.92,86,100,5.43,RU,1727665005
401,monrovia,6.3005,-10.7969,297.77,89,100,1.96,LR,1727665006
402,tripoli,32.8752,13.1875,296.23,56,0,2.59,LY,1727665007
403,zholymbet,51.7433,71.7122,285.91,50,99,2.83,KZ,1727665009
404,kapuskasing,49.4169,-82.4331,281.2,93,0,0.0,CA,1727665010
405,irbit,57.6705,63.071,283.27,51,44,4.3,RU,1727665011
406,naqadeh,36.9553,45.388,283.28,55,0,1.58,IR,1727665012
407,tazacorte,28.629,-17.9293,293.69,85,0,4.63,ES,1727665014
408,tobelo,1.7284,128.0095,302.6,68,30,2.45,ID,1727665017
409,karratha,-20.7377,116.8463,303.72,35,7,5.86,AU,1727665018
410,eldorado at santa fe,35.5264,-105.9347,293.87,36,3,2.68,US,1727665019
411,marquard,-28.6645,27.4305,277.99,41,24,3.47,ZA,1727665021
412,nyurba,63.2842,118.3319,276.45,96,100,3.41,RU,1727665023
413,narasannapeta,18.4167,84.05,301.72,81,7,2.4,IN,1727665024
414,amahai,-3.3333,128.9167,300.41,82,67,2.53,ID,1727665025
415,pangody,65.85,74.4859,279.56,76,98,5.59,RU,1727665027
416,ikalamavony,-21.15,46.5833,292.16,57,7,1.73,MG,1727664993
417,lejanias,3.5251,-74.0216,293.23,92,100,1.43,CO,1727665029
418,moyale,3.5167,39.0584,292.12,84,88,2.65,KE,1727665030
419,baiti,13.745,-14.7482,299.15,85,100,2.24,SN,1727665032
420,bargaal,11.2864,51.0773,298.91,77,82,4.91,SO,1727665033
